"DASKIO/VEROIA DT 50, 150HZ",Precision,Recall,F1,#Inputs
Pistolaki+mpriki+Tostiera,0.507395161,0.506722984,0.506991935,248
DVD-TV+Laptop+Tostiera,0.758357333,0.758357333,0.758357333,600
DVD-TV+Tostiera,0.401496853,0.573426573,0.47027972,286
DVD-TV+Pistolaki+Tostiera,0.962409023,0.914794737,0.933837594,266
DVD-TV+Laptop+Pistolaki,0.733987175,0.722142808,0.726881456,577
DVD-TV+Mati,0.004366812,0.006550218,0.005240175,229
DVD-TV+Laptop+Mati,0.998889,0.998889,0.998889,600
Laptop+mpriki+Tostiera,0.372286694,0.372286694,0.372286694,248
DVD-TV+Laptop,0.6667,1,0.8,300
DVD-TV+Psigio,0.333855667,0.5,0.400333333,300
DVD-TV+Pistolaki+Mati,0.613369636,0.612694737,0.612964777,247
Laptop+Pistolaki+Tostiera,0.5808495,0.575015,0.5773495,200
DVD-TV+Pistolaki,0.581112416,0.842281879,0.68557047,298
