"DASKIO/VEROIA DECISION TREES 50, 150, 250HZ",Precision,Recall,F1-Score,#Inputs
Pistolaki+mpriki+Tostiera,0.302284615,0.302284615,0.302284615,247
DVD-TV+Laptop+Tostiera,0.760024,0.760024,0.760024,600
DVD-TV+Tostiera,0.428886364,0.59965035,0.497202797,286
DVD-TV+Pistolaki+Tostiera,0.953638346,0.922313158,0.934841353,266
DVD-TV+Laptop+Pistolaki,0.850824774,0.84509783,0.847388969,553
DVD-TV+Mati,0.631744541,0.877729258,0.730131004,229
DVD-TV+Laptop+Mati,0.998889,0.998889,0.998889,600
Laptop+mpriki+Tostiera,0.110204032,0.110204032,0.110204032,248
DVD-TV+Laptop,0.6667,1,0.8,300
DVD-TV+Psigio,0.499444333,0.5,0.499666667,300
DVD-TV+Pistolaki+Mati,0.82524413,0.811074089,0.816742105,247
Laptop+Pistolaki+Tostiera,0.635849,0.6333485,0.634349,200
DVD-TV+Pistolaki,0.673408389,0.988255034,0.799328859,298
